ID,area_name,item_name,year,period,periodName,latest,value,footnotes
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M11,November,127.485,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M09,September,140.637,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M07,July,133.558,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M05,May,135.997,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M03,March,143.254,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2022,M01,January,132.805,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M11,November,127.601,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M09,September,130.189,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M07,July,123.164,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M05,May,128.455,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M03,March,127.278,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2021,M01,January,123.223,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M11,November,119.418,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M09,September,128.971,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M07,July,123.640,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M05,May,122.471,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M03,March,136.220,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2020,M01,January,129.316,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M11,November,135.676,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M09,September,144.971,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M07,July,128.545,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M05,May,135.571,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M03,March,147.799,[{}]
CUURS11ASAA,"Boston-Cambridge-Newton, MA-NH",Apparel,2019,M01,January,135.026,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M11,November,228.010,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M09,September,229.750,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M07,July,230.836,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M05,May,228.512,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M03,March,224.796,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2022,M01,January,216.661,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M11,November,212.686,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M09,September,207.145,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M07,July,205.805,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M05,May,202.069,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M03,March,198.613,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2021,M01,January,194.408,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M11,November,190.730,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M09,September,191.749,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M07,July,190.932,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M05,May,190.443,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M03,March,192.525,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2020,M01,January,192.467,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M11,November,191.527,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M09,September,191.569,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M07,July,191.373,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M05,May,193.773,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M03,March,193.728,[{}]
CUURS11ASAC,"Boston-Cambridge-Newton, MA-NH",Commodities,2019,M01,January,190.988,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M11,November,127.918,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M09,September,130.400,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M07,July,129.237,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M05,May,129.193,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M03,March,129.251,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2022,M01,January,129.797,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M11,November,126.226,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M09,September,120.164,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M07,July,122.270,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M05,May,116.681,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M03,March,113.445,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2021,M01,January,112.738,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M11,November,110.985,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M09,September,108.257,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M07,July,107.108,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M05,May,108.445,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M03,March,108.310,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2020,M01,January,108.668,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M11,November,107.282,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M09,September,106.719,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M07,July,106.733,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M05,May,107.602,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M03,March,107.571,[{}]
CUURS11ASAD,"Boston-Cambridge-Newton, MA-NH",Durables,2019,M01,January,108.044,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M11,November,177.757,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M09,September,178.096,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M07,July,175.231,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M05,May,174.610,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M03,March,175.660,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2022,M01,January,176.258,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M11,November,175.610,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M09,September,175.585,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M07,July,174.151,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M05,May,173.280,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M03,March,174.023,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2021,M01,January,172.818,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M11,November,173.249,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M09,September,173.025,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M07,July,171.624,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M05,May,170.904,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M03,March,170.337,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2020,M01,January,170.780,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M11,November,171.341,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M09,September,169.723,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M07,July,166.789,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M05,May,164.903,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M03,March,165.389,[{}]
CUURS11ASAE,"Boston-Cambridge-Newton, MA-NH",Education and communication,2019,M01,January,164.719,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M11,November,327.199,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M09,September,327.202,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M07,July,320.493,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M05,May,312.662,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M03,March,305.791,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2022,M01,January,300.803,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M11,November,296.279,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M09,September,293.080,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M07,July,292.389,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M05,May,289.240,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M03,March,286.713,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2021,M01,January,284.760,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M11,November,281.719,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M09,September,283.178,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M07,July,285.837,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M05,May,285.163,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M03,March,276.001,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2020,M01,January,272.010,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M11,November,268.345,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M09,September,265.357,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M07,July,266.557,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M05,May,267.579,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M03,March,269.784,[{}]
CUURS11ASAF,"Boston-Cambridge-Newton, MA-NH",Food and beverages,2019,M01,January,267.429,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M11,November,597.538,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M09,September,594.997,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M07,July,572.395,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M05,May,565.740,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M03,March,563.943,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2022,M01,January,556.021,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M11,November,538.772,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M09,September,532.796,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M07,July,529.524,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M05,May,522.728,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M03,March,522.085,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2021,M01,January,519.220,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M11,November,519.783,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M09,September,513.063,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M07,July,516.473,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M05,May,514.159,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M03,March,513.228,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2020,M01,January,512.043,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M11,November,504.393,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M09,September,502.331,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M07,July,504.718,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M05,May,499.710,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M03,March,500.318,[{}]
CUURS11ASAG,"Boston-Cambridge-Newton, MA-NH",Other goods and services,2019,M01,January,498.150,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M11,November,340.112,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M09,September,332.273,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M07,July,326.206,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M05,May,325.761,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M03,March,323.726,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2022,M01,January,319.796,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M11,November,313.236,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M09,September,308.126,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M07,July,308.394,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M05,May,304.058,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M03,March,304.561,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2021,M01,January,302.871,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M11,November,300.804,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M09,September,297.786,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M07,July,297.149,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M05,May,296.933,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M03,March,299.526,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2020,M01,January,299.489,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M11,November,297.126,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M09,September,294.677,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M07,July,293.495,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M05,May,291.877,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M03,March,291.327,[{}]
CUURS11ASAH,"Boston-Cambridge-Newton, MA-NH",Housing,2019,M01,January,291.405,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M11,November,744.951,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M09,September,748.394,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M07,July,743.091,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M05,May,733.033,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M03,March,723.561,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2022,M01,January,714.612,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M11,November,704.062,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M09,September,700.889,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M07,July,695.077,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M05,May,698.880,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M03,March,697.383,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2021,M01,January,693.754,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2020,M11,November,692.641,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2020,M09,September,694.815,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2020,M07,July,695.700,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2020,M05,May,698.016,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2020,M03,March,713.316,[{}]
